,question,answer,question_index,answer_index,document_index
0,What is the formal name of the Florence Cathedral?,"Florence Cathedral (Italian: Duomo di Firenze), formally the Cathedral of Saint Mary of the Flower (Italian: Cattedrale di Santa Maria del Fiore [katteˈdraːle di ˈsanta maˈriːa del ˈfjoːre]), is the cathedral of the Catholic Archdiocese of Florence.",O,0,8
1,What style is the basilica's exterior primarily composed of?," Commenced in 1296 in the Gothic style to a design of Arnolfo di Cambio and structurally completed by 1436 with the dome engineered by Filippo Brunelleschi; the basilica's exterior is faced with polychrome marble panels in various shades of green and pink, bordered by white, and features an elaborate 19th-century Gothic Revival (west) façade by Emilio De Fabris.",O,1,8
2,Where is the cathedral complex located in Florence?,"
The cathedral complex, in Piazza del Duomo, includes the Baptistery and Giotto's Campanile, and it is present in the district San Giovanni.",O,2,8
3,What is the name of the UNESCO World Heritage Site mentioned in the text?, These three buildings are part of the UNESCO World Heritage Site covering the historic centre of Florence and are a major tourist attraction of Tuscany.,O,3,8
4,When was the basilica's dome first built?," The basilica is one of Italy's largest churches and its dome, when first built back in the 15th century, was the largest ever built in western Europe.",O,4,8
5,What is the name of the dome that was later overtaken by St Peter's Basilica?," Although it was later overtaken by St Peter's Basilica, it still remains the largest dome ever constructed of bricks.",O,5,8
6,What is the role of the cathedral in the Archdiocese of Florence?," The cathedral is the mother church of the Archdiocese of Florence, whose archbishop is Gherardo Gambelli.",O,6,8
7,When was the first building of the Basilica di San Lorenzo di Firenze consecrated as a church?," Santa Maria del Fiore was built on the site of Florence's second cathedral dedicated to Saint Reparata; the first was the Basilica di San Lorenzo di Firenze, the first building of which was consecrated as a church in 393 by St. Ambrose of Milan.",O,7,8
8,What was the approximate time period when the structure was founded?," The ancient structure, founded in the early 5th century and having undergone many repairs, was crumbling with age, according to the 14th-century Nuova Cronica of Giovanni Villani, and was no longer large enough to serve the growing population of the city.",O,8,8
9,What was the reason for the incomplete reconstruction of Siena's cathedral?," Other major Tuscan cities had undertaken ambitious reconstructions of their cathedrals during the Late Medieval period, such as Pisa and particularly Siena where the enormous proposed extensions were never completed.",O,9,8
10,What was the year the city council approved Arnolfo di Cambio's design for the new church?,"
The city council approved Arnolfo di Cambio's design for the new church in 1294.",O,10,8
11,Who is Di Cambio?, Di Cambio was also architect of the church of Santa Croce and the Palazzo Vecchio.,O,11,8
12,What architectural feature is covered by the middle nave?," He designed three wide naves ending under the octagonal dome, with the middle nave covering the area of Santa Reparata.",O,12,8
13,What was the date that the first stone was laid?," The first stone was laid on 9 September 1296, by Cardinal Valeriana, the first papal legate ever sent to Florence.",O,13,8
14,What was the original planned duration of the building of this vast project?," The building of this vast project was to last 140 years; Arnolfo's plan for the eastern end, although maintained in concept, was greatly expanded in size.",O,14,8
15,Who was Arnolfo?,"
After Arnolfo died in 1302, work on the cathedral slowed for almost 50 years.",O,15,8
16,What was the significance of the discovery of the relics of Saint Zenobius in 1330?," When the relics of Saint Zenobius were discovered in 1330 in Santa Reparata, the project gained a new impetus.",O,16,8
17,Who was appointed by the Arte della Lana to oversee the construction of the cathedral in 1334?," In 1331, the Arte della Lana, the guild of wool merchants, took over patronage for the construction of the cathedral and in 1334 appointed Giotto to oversee the work.",O,17,8
18,Who designed the original plan for the Florence Cathedral before Giotto continued the work?," Assisted by Andrea Pisano, Giotto continued di Cambio's design.",O,18,8
19,Who built the campanile?, His major accomplishment was the building of the campanile.,O,19,8
20,Who was halted due to the Black Death in 1348?," When Giotto died on 8 January 1337, Andrea Pisano continued the building until work was halted due to the Black Death in 1348.",O,20,8
21,What style of art is the fresco by Andrea di Bonaiuto?,"
The Duomo, as if completed, in a fresco by Andrea di Bonaiuto, painted in the 1360s, before the commencement of the dome.",O,21,8
22,Who was the first architect to resume work on the cathedral in 1349?," In 1349, action resumed on the cathedral under a series of architects, starting with Francesco Talenti, who finished the campanile and enlarged the overall project to include the apse and the side chapels.",O,22,8
