,question,answer,question_index,answer_index,document_index
0,What is the location of the Basilica di Santa Croce?,"The Basilica di Santa Croce (Italian for 'Basilica of the Holy Cross') is a minor basilica and the principal Franciscan church of Florence, Italy.",O,0,6
1,Where is the location situated in relation to the Duomo?," It is situated on the Piazza di Santa Croce, about 800 metres southeast of the Duomo, on what was once marshland beyond the city walls.",O,1,6
2,What is the name given to this burial place due to its notable Italian residents?," Being the burial place of notable Italians, including those from the Italian Renaissance such as Michelangelo, Galileo, and Machiavelli, as well as the poet Foscolo, political philosopher Gentile, and the composer Rossini, it is also known as the Temple of the Italian Glories (Tempio dell'Itale Glorie).",O,2,6
3,What is the significance of the basilica being the largest Franciscan church in the world?, The basilica is the largest Franciscan church in the world.,O,3,6
4,What is the name of the location being described in the text?," Its most notable features are its sixteen chapels, many of them decorated with frescoes by Giotto and his pupils, and its tombs and cenotaphs.",O,4,6
5,Was Santa Croce actually founded by St Francis?, Legend says that Santa Croce was founded by St Francis himself.,O,5,6
6,Who paid for the construction of the current church?," The construction of the current church, to replace an older building, was begun on 12 May 1294, possibly by Arnolfo di Cambio, and paid for by some of the city's wealthiest families.",O,6,6
7,What is the name of the structure that was consecrated in 1442 by Pope Eugene IV?, It was consecrated in 1442 by Pope Eugene IV.,O,7,6
8,What architectural style is typically associated with the Franciscans?, The building's design reflects the austere approach of the Franciscans.,O,8,6
9,What architectural style is the building likely to be based on its floorplan?," The floorplan is an Egyptian or Tau cross (a symbol of St Francis), 115 metres in length with a nave and two aisles separated by lines of octagonal columns.",O,9,6
10,What was located to the south of the convent?," To the south of the church was a convent, some of whose buildings remain.",O,10,6
11,What architectural styles does the Basilica di Santa Croce primarily combine?," The Basilica di Santa Croce is a mixed style of Gothic, Renaissance, and Gothic Revival.",O,11,6
12,What is the name of the chapter house located in the Primo Chiostro?,"
The Primo Chiostro, the main cloister, houses the Cappella dei Pazzi, built as the chapter house, completed in the 1470s.",O,12,6
13,What is the name of the building associated with Filippo Brunelleschi's design?," Filippo Brunelleschi (who had designed and executed the dome of the Duomo) was involved in its design, which has remained rigorously simple and unadorned.",O,13,6
14,What changes were made to the interior of the area by Giorgio Vasari?," In 1560, the choir screen was removed as part of changes arising from the Counter-Reformation, and the interior of this area was rebuilt by Giorgio Vasari.",O,14,6
15,What was damaged in the church?," As a result, there was damage to the church's decoration and most of the altars previously located on the screen were lost.",O,15,6
16,Who plastered over the Bardi Chapel?," The Bardi Chapel, which contained a cycle of frescoes of the life of St Francis, was plastered over at the behest of Cosimo I, and Vasari placed some new altars against the walls, causing considerable damage to the frescoes.",O,16,6
17,When was the bell tower originally built before being damaged by lightning?,"
The bell tower was built in 1842, replacing an earlier one damaged by lightning.",O,17,6
18,What style of architecture is being referenced in the description of the façade?, The neo-Gothic marble façade dates from 1857 to 1863.,O,18,6
19,What style of architecture is most likely associated with the prominent Star of David in the church's façade?," The Jewish architect Niccolò Matas from Ancona designed the church's façade, working a prominent Star of David into the composition.",O,19,6
20,Why was Matas buried under the threshold instead of with his peers?," Matas had wanted to be buried with his peers, but because he was Jewish, he was buried under the threshold and honoured with an inscription.",O,20,6
21,What event led to the complex becoming public property in 1866?," In 1866, the complex became public property as part of government suppression of most religious houses, following the wars that gained Italian independence and unity.",O,21,6
22,What is the name of the artist who created the frescoes of the Life of St Francis in the Bardi Chapel?,"
Among the 19th-century restorations, the 16th-century altars and plaster were removed from the Bardi Chapel, revealing Giotto's frescoes of the Life of St Francis, which include the Death of St. Francis.",O,22,6
23,What was the purpose of the sections that were missing from the painting?," This painting, missing sections where an altar had been attached to the wall, was heavily restored in the 19th century.",O,23,6
24,What was the purpose of removing the restorations from the painting?," These restorations were later removed to reveal those areas which are definitively Giotto's, leaving portions of the painting missing.",O,24,6
25,What is the main location where the Museo dell'Opera di Santa Croce is housed?,"
The Museo dell'Opera di Santa Croce is housed mainly in the refectory, also off the cloister.",O,25,6
26,In what city was Florence Nightingale born?," A monument to Florence Nightingale stands in the cloister, in the city in which she was born and after which she was named.",O,26,6
27,Who built the inner cloister?," Brunelleschi also built the inner cloister, completed in 1453.",O,27,6
28,What was the name of the church where the Badia Polyptych was located?,"
In 1940, during the safe hiding of various works during World War II, Ugo Procacci noticed the Badia Polyptych being carried out of the church.",O,28,6
29,Where did the artwork originally belong before it was possibly relocated during the Napoleonic occupation?, He reasoned that this had been removed from the Badia Fiorentina during the Napoleonic occupation and accidentally re-installed in Santa Croce.,O,29,6
30,What was the name of the artist whose original work was revealed by Leonetto Tintori in the Peruzzi Chapel?," Between 1958 and 1961, Leonetto Tintori removed layers of whitewash and overpaint from Giotto's Peruzzi Chapel scenes to reveal his original work.",O,30,6
31,What was the year the Arno River flooded much of Florence?,"
In 1966, the Arno River flooded much of Florence, including Santa Croce.",O,31,6
32,What caused the water to enter the church?," The water entered the church, bringing mud, pollution, and heating oil.",O,32,6
33,What type of disasters typically cause such extensive damage to buildings and art treasures?," The damage to buildings and art treasures was severe, taking several decades to repair.",O,33,6
34,What was the original purpose of the building that houses the Scuola del Cuoio?,"
Today, the former dormitory of the Franciscan friars houses the Scuola del Cuoio (Leather School).",O,34,6
35,What type of goods are being crafted and sold in the adjacent shop?," Visitors can watch as artisans craft purses, wallets, and other leather goods, which are sold in the adjacent shop.",O,35,6
36,What is the purpose of the system in the conversation?,"
",O,36,6
